ticker,entry_date,exit_date,entry_price,exit_price,shares,gross_pnl,costs,exit_reason,stop_type,initial_stop_pct,max_gain_pct,bars_held,entry_regime,rank_score,catalyst,tag_pilot,tag_defensive_entry,tag_size_mult,tag_liquidity_bound,net_pnl,return_pct
MTUS,2022-01-05,2022-01-10,17.8799991607666,16.09199924468994,467,-834.9959608078007,16.96046788135485,STOP_LOSS,STOP_LOSS,0.1,-0.0016777841557565898,3,OPEN,2.2,STRONG_POSITIVE,True,False,0.5,False,-851.9564286891555,-0.10203120358390083
HGV,2022-01-12,2022-01-19,51.9900016784668,48.85889896392822,159,-497.84533161163387,12.500119781814202,STOP_LOSS,STOP_LOSS,0.060225093545927255,0.015964569908855974,4,OPEN,2.5,STRONG_POSITIVE,True,False,0.5,False,-510.34545139344806,-0.06173725171111082
AMH,2022-01-14,2022-01-20,41.81999969482422,39.77969837188721,197,-401.9393606185913,11.817495038751687,STOP_LOSS,STOP_LOSS,0.04878769339612229,-0.001673832982664547,3,OPEN,2.5,STRONG_POSITIVE,True,False,0.5,False,-413.756855657343,-0.05022210958211984
PLAB,2022-01-06,2022-01-21,18.950000762939453,16.450000762939453,438,-1095.0,16.40155608854756,STOP_LOSS,STOP_LOSS,0.1,0.04432718304849259,10,OPEN,2.5,STRONG_POSITIVE,True,False,0.5,False,-1111.4015560885475,-0.1339021832680079
PENG,2022-01-06,2022-01-24,30.854999542236328,27.440000534057617,270,-922.049732208252,12.25143177481635,STOP_LOSS,STOP_LOSS,0.1,0.07502831505604357,11,OPEN,2.2,STRONG_POSITIVE,True,False,0.5,False,-934.3011639830682,-0.11214956191076865
PR,2022-01-26,2022-02-08,8.369999885559082,7.532999897003174,390,-326.4299955368041,7.4783098984309975,STOP_LOSS,STOP_LOSS,0.1,-0.0035841975366033285,9,OPEN,2.2,STRONG_POSITIVE,True,False,0.2,False,-333.9083054352351,-0.10229093833308212
PR,2022-02-25,2022-03-14,8.319999694824219,7.487999725341796,386,-321.15198822021523,7.326638255437557,STOP_LOSS,STOP_LOSS,0.1,0.06250005731216057,11,OPEN,2.2,STRONG_POSITIVE,True,False,0.2,False,-328.4786264756528,-0.10228136163691257
SM,2022-02-25,2022-03-14,33.029998779296875,34.69699974060058,92,153.364088439941,5.4878514782027175,TRAILING_STOP,TRAILING_STOP,0.05701780977467996,0.23584623685817685,11,OPEN,1.7,NEUTRAL,True,False,0.2,False,147.8762369617383,0.04866335032278319
ACLS,2022-03-21,2022-04-01,80.52999877929688,72.4769989013672,80,-644.2399902343743,9.75689705990532,STOP_LOSS,STOP_LOSS,0.1,0.024835465420548042,9,OPEN,2.5,STRONG_POSITIVE,True,False,0.4,False,-653.9968872942796,-0.10151448174714443
ACLS,2022-04-04,2022-04-05,72.16999816894531,68.69539970397949,90,-312.71386184692403,10.002371792455055,STOP_LOSS,STOP_LOSS,0.048144638397135765,0.0018013701830525974,1,OPEN,2.5,STRONG_POSITIVE,True,False,0.4,False,-322.7162336393791,-0.04968457836083711
MMI,2022-04-06,2022-04-07,56.27000045776367,52.89380043029785,113,-381.5106031036377,11.83448719157348,STOP_LOSS,STOP_LOSS,0.06,0.006753173361007336,1,OPEN,2.2,STRONG_POSITIVE,True,True,0.4,False,-393.3450902952112,-0.06186120444810159
HWC,2022-01-07,2022-04-08,53.72999954223633,48.79099925994873,155,-765.5450437545782,13.026741493318225,STOP_LOSS,STOP_LOSS,0.09192258187914423,0.05490416504881046,63,OPEN,2.5,STRONG_POSITIVE,True,False,0.5,False,-778.5717852478964,-0.0934867637928108
APLE,2022-02-28,2022-04-08,17.489999771118164,16.286300888061522,181,-217.86949783325224,5.645638189224413,STOP_LOSS,STOP_LOSS,0.06882212114401233,0.06060603086415117,29,OPEN,2.5,STRONG_POSITIVE,True,False,0.2,False,-223.51513602247664,-0.07060550431264404
EXTR,2022-03-21,2022-04-11,12.869999885559082,11.40999984741211,505,-737.3000192642212,13.625868487618654,STOP_LOSS,STOP_LOSS,0.1,-0.016317019426131063,15,OPEN,2.5,STRONG_POSITIVE,True,False,0.4,False,-750.9258877518398,-0.11553861454285799
ACI,2022-04-11,2022-04-12,35.5,33.27000045776367,90,-200.69995880126953,5.502081650575738,STOP_LOSS,STOP_LOSS,0.06,-0.02028172452684862,1,OPEN,2.2,STRONG_POSITIVE,True,True,0.2,False,-206.20204045184528,-0.06453897979713467
MMI,2022-04-08,2022-04-22,51.720001220703125,49.01409881591797,124,-335.53189819335944,11.725930929164724,STOP_LOSS,STOP_LOSS,0.05231829738824531,0.043310089151213704,9,OPEN,2.2,STRONG_POSITIVE,True,True,0.4,False,-347.2578291225242,-0.05414668015843586
WSC,2022-04-13,2022-04-25,37.65999984741211,36.15359985351562,84,-126.5375994873049,5.527593386969997,STOP_LOSS,STOP_LOSS,0.04,0.04089221778457253,7,OPEN,2.5,STRONG_POSITIVE,True,True,0.2,False,-132.06519287427489,-0.04174733625716513
RRC,2022-02-24,2022-04-25,23.200000762939453,28.865999221801758,141,798.905782699585,6.057954984381818,TRAILING_STOP,TRAILING_STOP,0.05926727231560834,0.4637930158485868,41,OPEN,1.9,STRONG_POSITIVE,True,False,0.2,False,792.8478277152032,0.24237215750860494
AR,2022-02-18,2022-04-25,20.520000457763672,30.931499481201172,154,1603.370849609375,6.330091629514729,TRAILING_STOP,TRAILING_STOP,0.04,0.7733917435601423,44,OPEN,2.2,STRONG_POSITIVE,True,False,0.2,False,1597.0407579798602,0.5053798392296406
NTCT,2022-04-18,2022-04-27,33.04999923706055,31.066999282836914,96,-190.36799560546876,5.975536678500708,STOP_LOSS,STOP_LOSS,0.06,0.012405441962986652,7,OPEN,2.5,STRONG_POSITIVE,True,True,0.2,False,-196.34353228396947,-0.06188336384784493
SMPL,2022-04-18,2022-05-02,43.36000061035156,40.75840057373047,73,-189.91680267333982,5.757166341884566,STOP_LOSS,STOP_LOSS,0.06,0.027905882551666483,10,OPEN,2.2,STRONG_POSITIVE,True,True,0.2,False,-195.67396901522437,-0.0618188489678147
MAT,2022-04-28,2022-05-05,24.239999771118164,26.610000610351562,319,756.0302677154541,13.078525977281576,DEFENSIVE_PROFIT_TARGET,STOP_LOSS,0.04,0.1126237445550271,5,OPEN,2.5,STRONG_POSITIVE,False,True,0.5,False,742.9517417381725,0.09608095491704695
UTI,2022-04-26,2022-05-06,10.119999885559082,9.512799892425537,779,-473.0087946510314,25.202000843041507,STOP_LOSS,STOP_LOSS,0.06,0.08300396858566605,8,OPEN,2.5,STRONG_POSITIVE,False,True,0.5,False,-498.2107954940729,-0.06319681170346542
VRRM,2022-07-20,2022-07-26,17.030000686645508,16.179600296020507,462,-392.8849804687506,15.522980770951222,STOP_LOSS,STOP_LOSS,0.04993542902742591,-0.02231362611824328,4,OPEN,2.2,STRONG_POSITIVE,True,True,0.5,False,-408.4079612397018,-0.05190838992722184
ENPH,2022-09-08,2022-09-09,315.0,296.09999999999997,24,-453.6000000000008,9.753820850227452,STOP_LOSS,STOP_LOSS,0.06,0.007650805276537609,1,OPEN,1.9,STRONG_POSITIVE,True,True,0.5,False,-463.35382085022826,-0.061290187943151886
DY,2022-08-23,2022-09-16,112.66000366210938,105.90040344238281,70,-473.17201538085953,12.210050641973096,STOP_LOSS,STOP_LOSS,0.06,0.0416296348265528,17,OPEN,2.2,STRONG_POSITIVE,True,True,0.5,False,-485.38206602283265,-0.0615482805717678
ENPH,2022-09-12,2022-09-22,304.2699890136719,286.01378967285154,20,-365.1239868164066,8.19398423348816,STOP_LOSS,STOP_LOSS,0.06,0.05373519142165861,8,OPEN,1.9,STRONG_POSITIVE,True,True,0.4,False,-373.31797104989477,-0.06134649892025998
CALM,2022-09-29,2022-09-30,60.5,56.87,51,-185.13000000000014,5.461739102500367,STOP_LOSS,STOP_LOSS,0.06,-0.03024796414966424,1,OPEN,2.5,STRONG_POSITIVE,True,True,0.2,False,-190.5917391025005,-0.0617701309682387
DINO,2022-10-05,2022-10-10,58.25,54.754999999999995,53,-185.23500000000024,5.334713217905779,STOP_LOSS,STOP_LOSS,0.06,-0.00909869149007514,3,OPEN,2.2,STRONG_POSITIVE,True,True,0.2,False,-190.569713217906,-0.061727982255374854
UNM,2022-09-07,2022-10-10,37.2599983215332,41.560001373291016,207,890.1006317138672,12.165958938028862,DEFENSIVE_PROFIT_TARGET,STOP_LOSS,0.06,0.11701558794305811,23,OPEN,2.2,STRONG_POSITIVE,True,True,0.5,False,877.9346727758383,0.11382797891361789
ENPH,2022-10-27,2022-11-04,295.55999755859375,277.82639770507814,21,-372.4055969238279,8.3031912522098,STOP_LOSS,STOP_LOSS,0.06,0.038706193449397075,6,OPEN,1.9,STRONG_POSITIVE,True,True,0.4,False,-380.7087881760377,-0.06133776581030943
HLIT,2022-10-20,2022-11-07,14.300000190734863,13.44200017929077,429,-368.08200490951566,12.304611416466969,STOP_LOSS,STOP_LOSS,0.06,0.09440555313209642,12,OPEN,2.2,STRONG_POSITIVE,True,True,0.4,False,-380.38661632598263,-0.062005739686104795
NOV,2022-10-31,2022-11-08,21.5,23.81999969482422,289,670.4799118041992,10.736348684519204,DEFENSIVE_PROFIT_TARGET,STOP_LOSS,0.06,0.11348839693291235,6,OPEN,1.9,STRONG_POSITIVE,True,True,0.4,False,659.7435631196801,0.10617905578493282
TDW,2022-11-07,2022-11-09,34.0,31.959999999999997,184,-375.36000000000047,10.637841179855563,STOP_LOSS,STOP_LOSS,0.06,0.02294114056755525,2,OPEN,2.2,STRONG_POSITIVE,True,True,0.4,False,-385.99784117985604,-0.061700422183480826
CALM,2022-10-06,2022-11-11,56.11000061035156,53.020199851989744,55,-169.93904170989998,5.450849235958078,STOP_LOSS,STOP_LOSS,0.05506684592321659,0.08144715104460554,26,OPEN,2.5,STRONG_POSITIVE,True,True,0.2,False,-175.38989094585807,-0.056833132657606825
OVV,2022-11-14,2022-11-17,57.119998931884766,54.09000015258789,133,-402.9898376464844,10.311395999302153,STOP_LOSS,STOP_LOSS,0.04,0.02380953494017657,3,OPEN,2.2,STRONG_POSITIVE,True,True,0.5,False,-413.3012336457865,-0.054403503687568654
TDW,2022-11-10,2022-11-18,31.75,29.845,246,-468.6300000000003,13.2914102309533,STOP_LOSS,STOP_LOSS,0.06,0.02897632028174213,6,OPEN,2.2,STRONG_POSITIVE,True,True,0.5,False,-481.9214102309536,-0.061701736154017486
SMCI,2022-11-03,2022-11-23,7.869999885559082,8.824000358581543,765,729.8103618621826,9.878600172257155,DEFENSIVE_PROFIT_TARGET,STOP_LOSS,0.06,0.11461250830526737,14,OPEN,2.5,STRONG_POSITIVE,True,True,0.4,False,719.9317616899255,0.11957907037708357
DINO,2022-11-08,2022-11-30,64.0999984741211,60.253998565673825,97,-373.061991119385,8.933619704642163,STOP_LOSS,STOP_LOSS,0.06,0.02355697616498542,15,OPEN,2.2,STRONG_POSITIVE,True,True,0.4,False,-381.9956108240272,-0.06143680459290481
ADM,2022-11-01,2022-12-01,97.36000061035156,91.51840057373046,64,-373.86240234375055,8.652824108351838,STOP_LOSS,STOP_LOSS,0.06,0.0031840340658420008,21,OPEN,2.2,STRONG_POSITIVE,True,True,0.4,False,-382.5152264521024,-0.06138866450128834
SMCI,2022-12-01,2022-12-02,9.175999641418457,8.62543966293335,850,-467.97598171234165,11.329023844282721,STOP_LOSS,STOP_LOSS,0.06,-0.013622493993545648,1,OPEN,2.5,STRONG_POSITIVE,True,True,0.5,False,-479.3050055566244,-0.06145251349902571
DINO,2022-12-01,2022-12-02,63.040000915527344,59.2576008605957,123,-465.235206756592,10.67960885841078,STOP_LOSS,STOP_LOSS,0.06,-0.03489848875299706,1,OPEN,2.2,STRONG_POSITIVE,True,True,0.5,False,-475.9148156150028,-0.061377317370221965
NOG,2022-11-18,2022-12-05,35.790000915527344,33.6426008605957,168,-360.76320922851625,9.04113054706339,STOP_LOSS,STOP_LOSS,0.06,0.027940764862237177,10,OPEN,1.9,STRONG_POSITIVE,True,True,0.4,False,-369.80433977557965,-0.061503667278001814
BDC,2022-11-11,2022-12-16,78.91000366210938,73.44999694824219,98,-535.0806579589844,12.5414032416564,STOP_LOSS,STOP_LOSS,0.06,0.03852481491636972,24,OPEN,2.5,STRONG_POSITIVE,True,True,0.5,False,-547.6220612006408,-0.07081459836525492
TDW,2022-11-22,2022-12-21,30.299999237060547,34.189998626708984,205,797.4498748779297,11.104718078383755,DEFENSIVE_PROFIT_TARGET,STOP_LOSS,0.06,0.11683171632550726,20,OPEN,2.2,STRONG_POSITIVE,True,True,0.4,False,786.345156799546,0.1265950537872237
USLM,2022-12-14,2022-12-22,29.38800048828125,27.624720458984374,103,-181.61784301757822,8.858848687674067,STOP_LOSS,STOP_LOSS,0.06,-0.013134601645299115,6,OPEN,2.5,STRONG_POSITIVE,True,True,0.2,False,-190.47669170525228,-0.0629266448297649
POWL,2022-12-12,2022-12-29,11.963333129882812,11.245533142089844,250,-179.44999694824216,7.439346874083714,STOP_LOSS,STOP_LOSS,0.06,0.03900812342400606,12,OPEN,1.9,STRONG_POSITIVE,True,True,0.2,False,-186.88934382232588,-0.06248738266946732
DNOW,2022-12-19,2023-01-04,12.489999771118164,11.740599784851074,240,-179.85599670410153,6.463925720815501,STOP_LOSS,STOP_LOSS,0.06,0.04243400291095911,10,OPEN,2.5,STRONG_POSITIVE,True,True,0.2,False,-186.31992242491702,-0.06215636704005479
SMCI,2022-12-16,2023-01-10,8.02400016784668,7.5425601577758785,372,-179.09568374633804,5.242795130794516,STOP_LOSS,STOP_LOSS,0.06,0.056455640477151015,15,OPEN,2.5,STRONG_POSITIVE,True,True,0.2,False,-184.33847887713256,-0.06175642260755551
BDC,2022-12-19,2023-02-02,73.7699966430664,83.0,40,369.20013427734375,5.916282480165435,DEFENSIVE_PROFIT_TARGET,STOP_LOSS,0.06,0.11590081931447971,30,OPEN,2.5,STRONG_POSITIVE,True,True,0.2,False,363.28385179717833,0.12311368724703715
GPK,2023-02-01,2023-02-07,23.479999542236328,22.154800148010253,248,-328.6494497680667,9.183018607320475,STOP_LOSS,STOP_LOSS,0.056439498299064195,0.014480415639544164,4,OPEN,2.0,,True,True,0.4,False,-337.8324683753872,-0.05801651284582185
AEIS,2023-02-02,2023-02-09,98.69000244140625,92.76860229492188,61,-361.20540893554676,10.10726452842506,STOP_LOSS,STOP_LOSS,0.06,0.007599553971490591,5,OPEN,1.7,,True,True,0.4,False,-371.3126734639718,-0.06167892245438027
BDC,2023-02-08,2023-02-23,85.0,79.89999999999999,89,-453.9000000000008,12.090884261875129,STOP_LOSS,STOP_LOSS,0.06,0.0731764849494485,10,OPEN,2.0,NEUTRAL,True,True,0.5,False,-465.9908842618759,-0.06159826626065776
HCC,2023-02-14,2023-02-27,38.720001220703125,36.396801147460934,193,-448.3776141357429,12.021847907311635,STOP_LOSS,STOP_LOSS,0.06,0.07592971420509675,8,OPEN,2.0,NEUTRAL,True,True,0.5,False,-460.3994620430545,-0.061608712950197306
XPEL,2023-02-28,2023-03-02,65.52999877929688,62.90879882812501,76,-199.21119628906192,9.030129468351955,STOP_LOSS,STOP_LOSS,0.04,0.01953302003877444,2,OPEN,1.7,,True,True,0.4,False,-208.24132575741388,-0.04181317709778688
KNSL,2023-02-21,2023-03-09,327.6400146484375,307.98161376953124,22,-432.4848193359378,10.693270615330116,STOP_LOSS,STOP_LOSS,0.06,-0.015993225850559623,12,OPEN,2.5,STRONG_POSITIVE,True,True,0.5,False,-443.1780899512679,-0.0614835115782907
